,DEV,VAL,OOT,total
savings_balance,0.07406331687481847,0.07819287576020852,0.08494533221194281,0.07712260072626664
bureau_score,0.03659599186755736,0.03127715030408341,0.02607232968881413,0.03337368148020059
monthly_income,0.024687772291606156,0.023457862728062554,0.027754415475189236,0.025073491267508213
age,0.0,0.0,0.0,0.0
employment_type,0.0,0.0,0.0,0.0
channel,0.0,0.0,0.0,0.0
region,0.0,0.0,0.0,0.0
employment_tenure_months,0.0,0.0,0.0,0.0
bureau_inquiries_6m,0.0,0.0,0.0,0.0
active_loans,0.0,0.0,0.0,0.0
monthly_debt_payment,0.0,0.0,0.0,0.0
prior_delinquencies_24m,0.0,0.0,0.0,0.0
dti,0.0,0.0,0.0,0.0
new_customer_flag,0.0,0.0,0.0,0.0
relationship_months,0.0,0.0,0.0,0.0
requested_amount,0.0,0.0,0.0,0.0
term_months,0.0,0.0,0.0,0.0
distance_to_branch_km,0.0,0.0,0.0,0.0
household_dependents,0.0,0.0,0.0,0.0
cash_income_share,0.0,0.0,0.0,0.0
