variable,psi_val,psi_oot,semaforo
age,0.014339884878404313,0.017446942824897612,Verde
requested_amount,0.008797291782271665,0.012843749502042293,Verde
employment_tenure_months,0.020008749921825237,0.01280292462612176,Verde
bureau_score,0.006533006200216091,0.011443265960443549,Verde
dti,0.0024826913564036145,0.009957847133735015,Verde
savings_balance,0.006638343480074577,0.009802611430246487,Verde
monthly_income,0.01043911162373299,0.007717079816246465,Verde
channel,0.0023390487962659332,0.007220194814338096,Verde
relationship_months,0.008337541743743829,0.005535404371637798,Verde
cash_income_share,0.006587895105463184,0.005503451799253968,Verde
monthly_debt_payment,0.015097912272365083,0.005211247772790542,Verde
term_months,0.006718670928346002,0.004449080587651793,Verde
distance_to_branch_km,0.003737647998547353,0.004280389565962973,Verde
bureau_inquiries_6m,0.004328505049833764,0.003925783602709806,Verde
active_loans,0.001738115172257647,0.000913755927013914,Verde
prior_delinquencies_24m,0.0026654683219041043,0.0007053998828221187,Verde
household_dependents,0.0016204561454321827,0.0006850239663834518,Verde
region,0.006758131896534519,0.0006275207391156861,Verde
employment_type,0.003519571455888182,8.490199343278674e-05,Verde
new_customer_flag,0.0,0.0,Verde
