variable,min,p1,mediana,p99,max,asimetria,outliers_iqr,pct_outliers,tope_inferior,tope_superior
savings_balance,45.37,217.7748,2666.9,29199.68600000006,243909.39,11.220409180711803,176,0.032977328086940226,217.7748,29199.68600000006
distance_to_branch_km,0.5,1.4,9.0,55.53600000000006,150.0,3.1862286182558495,123,0.02126923742002421,1.4,55.53600000000006
monthly_debt_payment,3.82,66.193,861.79,5158.751000000001,21395.71,3.157589113327291,78,0.013487809095625108,66.193,5158.751000000001
requested_amount,512.01,1341.8184,6314.33,29992.14760000002,78915.47,2.6535607052788905,74,0.012796126577900744,1341.8184,29992.14760000002
monthly_income,529.23,909.5519,3472.365,12725.307600000004,33678.15,1.9607050816021854,37,0.00656261085491309,909.5519,12725.307600000004
employment_tenure_months,0.0,4.0,36.0,124.18000000000029,240.0,1.2315098610225756,12,0.0020750475531730937,4.0,124.18000000000029
relationship_months,0.0,0.0,13.0,111.0,180.0,1.4135750447012994,9,0.0015562856648798202,0.0,111.0
prior_delinquencies_24m,0.0,0.0,0.0,3.0,5.0,1.414374543378723,5,0.0008646031471554556,0.0,3.0
active_loans,0.0,0.0,2.0,6.0,10.0,0.6838193111973545,1,0.00017292062943109114,0.0,6.0
age,18.0,18.0,38.0,61.0,71.0,0.10661383424566416,0,0.0,18.0,61.0
dti,0.0024,0.025,0.2626,0.7076720000000001,0.859,0.5720264701771947,0,0.0,0.025,0.7076720000000001
bureau_score,379.0,496.89,671.0,840.2199999999993,850.0,-0.10801649825915259,0,0.0,496.89,840.2199999999993
bureau_inquiries_6m,0.0,0.0,2.0,5.0,9.0,0.7365961847101398,0,0.0,0.0,5.0
new_customer_flag,0.0,0.0,0.0,1.0,1.0,0.22593650836992704,0,0.0,0.0,1.0
term_months,6.0,6.0,18.0,60.0,60.0,0.6384941000046116,0,0.0,6.0,60.0
household_dependents,0.0,0.0,2.0,6.0,8.0,0.5974782588897707,0,0.0,0.0,6.0
cash_income_share,0.0147413230137496,0.14355242692655945,0.610499441264748,0.9559055138667687,0.9963013038784938,-0.2578111742061527,0,0.0,0.14355242692655945,0.9559055138667687
