decision,motivo,pd_calibrada,monto_recomendado,contraoferta,tasa_recomendada
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.08662858377134064,4300.0,True,0.24052993147383822
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,7144.85,False,0.1920958527792589
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.06116344670242508,6386.5,False,0.18
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.1097394117797793,6400.0,True,0.1855034392976207
APPROVE,Riesgo y capacidad dentro del apetito,0.10357955931344313,5255.08,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.14301524644733504,6183.07,False,0.2264734865487213
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,5584.65,False,0.18
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
REJECT,PD calibrada >= 20%,0.2576537394487291,,True,
REJECT,PD calibrada >= 20%,0.4185570944221592,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.11843367781211596,4500.0,True,0.27009594689414296
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,4211.58,False,0.21316054249977834
APPROVE,Riesgo y capacidad dentro del apetito,0.1255029305755342,7800.79,False,0.18916688106575413
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.16894366148278292,1800.0,True,0.31705002771439494
REJECT,PD calibrada >= 20%,0.21157139810318498,,True,
REJECT,PD calibrada >= 20%,0.24547400357095442,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.08577970498027913,2916.22,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,3504.85,False,0.2605027172205263
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,5279.22,False,0.18
REVIEW,PD calibrada entre 18% y 20%,0.1919444388002613,4190.13,False,0.3384315503087229
REVIEW,PD calibrada entre 18% y 20%,0.18553299057473505,1400.0,True,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.08662858377134064,5500.0,True,0.2136866209825588
REJECT,PD calibrada >= 20%,0.31097926944080767,,True,
REJECT,PD calibrada >= 20%,0.27797271303647847,,False,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.11292209408378659,3858.8,True,0.21248618933014402
APPROVE,Riesgo y capacidad dentro del apetito,0.08164700741323028,5094.44,False,0.19794952904566943
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.10182617221126256,7118.63,False,0.25465760968758966
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.15811728566907743,2573.38,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,2960.6,False,0.18646988234633982
REJECT,PD calibrada >= 20%,0.2576537394487291,,True,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.1757620037320268,2493.73,True,0.26892557244619475
APPROVE,Riesgo y capacidad dentro del apetito,0.1296259008660379,10848.54,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.04974307356700933,6616.29,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.08086911993666611,2900.0,True,0.1975879669465624
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.1716319253415125,1300.0,True,0.21318301259915667
REJECT,PD calibrada >= 20%,0.36971539330192027,,True,
APPROVE,Riesgo y capacidad dentro del apetito,0.07458002607872367,1988.9,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,4156.92,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,12731.31,False,0.23537703791539472
REJECT,PD calibrada >= 20%,0.21700237651743365,,True,
REVIEW,PD calibrada entre 18% y 20%,0.1919444388002613,3308.9,False,0.18
REVIEW,Sin score de buró: re-consultar y verificar identidad,0.17421456415943257,3300.0,True,0.267966572561739
REJECT,PD calibrada >= 20%,0.2464934787942702,,False,
REVIEW,Sin ingreso declarado: verificar capacidad de pago en campo,0.06116344670242508,20796.96,False,0.18
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.05452509506065575,3700.0,True,0.18534326418419278
REJECT,PD calibrada >= 20%,0.20108782483026755,,False,
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.13041144168753702,6054.47,True,0.1802050793654557
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,13860.03,False,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.038717810173978205,2157.77,False,0.18
REVIEW,Capacidad de pago insuficiente: evaluar plazo mayor o consolidación,0.08086911993666611,0.0,True,0.18
APPROVE,Riesgo y capacidad dentro del apetito,0.16217090773535875,7688.57,False,0.31075407583078946
APPROVE,Riesgo y capacidad dentro del apetito,0.11389794469165165,5684.75,False,0.18
REJECT,PD calibrada >= 20%,0.3650013949605897,,True,
REJECT,PD calibrada >= 20%,0.2576537394487291,,True,
APPROVE,Aprobado con contraoferta de monto por capacidad de pago,0.17942944535728508,1400.0,True,0.3267976124041322
