modelo,muestra,n,mae,rmse,sesgo,r2,media_predicha,media_observada
Baseline global,DEV,351,0.15093970259512585,0.18543827869213295,0.0,0.0,0.415374408852506,0.4153744088525058
Baseline global,VAL,161,0.1590117509214251,0.18768684654148224,0.005446015043888529,-0.0008426666567296071,0.41537440885250587,0.4099283938086173
Baseline por plazo,DEV,351,0.1508800166815554,0.18536764731807148,-1.012169139259402e-17,0.0007616326381786331,0.4153744088525058,0.4153744088525058
Baseline por plazo,VAL,161,0.1586973978487743,0.18724173891159565,0.0055325341155638445,0.003898789385667567,0.4154609279241811,0.4099283938086173
Baseline por banda de buró,DEV,351,0.1500255955048477,0.18422149865067844,0.0007857565690505967,0.013080233607002945,0.4161601654215563,0.4153744088525058
Baseline por banda de buró,VAL,161,0.1607566594972565,0.18924337698080262,0.009039529457078607,-0.017511941854385427,0.4189679232656959,0.4099283938086173
Baseline plazo x monto,DEV,351,0.148263540443833,0.18402418328243178,0.005544894981718218,0.015193235083975742,0.4209193038342241,0.4153744088525058
Baseline plazo x monto,VAL,161,0.15739658404502518,0.18844553817318427,0.012592109900257265,-0.008950487763269788,0.42252050370887456,0.4099283938086173
Logística fraccional,DEV,351,0.14868009989838174,0.1828598959003045,4.4973704168657924e-05,0.027615199540329982,0.4154193825566745,0.4153744088525058
Logística fraccional,VAL,161,0.1632287622031627,0.19184461464026503,0.0026663472994309136,-0.045676531844460744,0.41259474110804817,0.4099283938086173
Boosting acotado,DEV,351,0.12888936439285717,0.15668783785172277,-2.0268894426518686e-05,0.2860434196004431,0.41535413995807924,0.4153744088525058
Boosting acotado,VAL,161,0.1695849487214989,0.19965059203203603,0.010400095666510517,-0.13250294782451144,0.4203284894751278,0.4099283938086173
