tramo,dev_creditos,dev_default_rate,dev_ic_inf,dev_ic_sup,val_creditos,val_default_rate,val_ic_inf,val_ic_sup
"(-inf, 577.0]",334,0.26646706586826346,0.22190333626322298,0.31634180583887467,98,0.2857142857142857,0.20568632301416542,0.38190853016960236
"(577.0, 611.0]",342,0.17251461988304093,0.13616565547141585,0.21613898341528837,115,0.23478260869565218,0.16666772679875813,0.32004399704205183
"(611.0, 632.0]",323,0.11764705882352941,0.08692316606176717,0.15735907952753353,99,0.21212121212121213,0.14313429916193274,0.302615280774591
"(632.0, 652.0]",336,0.12202380952380952,0.09123499568038583,0.16135797704573124,110,0.15454545454545454,0.09878570478208984,0.23362002387948907
"(652.0, 670.0]",333,0.08108108108108109,0.05631961961162327,0.1153978879646381,109,0.14678899082568808,0.09241831740304014,0.22520922421281786
"(670.0, 689.0]",331,0.08157099697885196,0.05666364232144225,0.1160795293752645,116,0.12931034482758622,0.07995320598677602,0.20243287697606827
"(689.0, 709.0]",340,0.06764705882352941,0.045496099106811974,0.09945901976187639,123,0.11382113821138211,0.06902221140662215,0.18201214956012693
"(709.0, 732.0]",324,0.06790123456790123,0.045264913079030494,0.10066409654024905,124,0.08064516129032258,0.04439250529691354,0.14210078014381933
"(732.0, 764.0]",324,0.033950617283950615,0.01906115189716367,0.059762279906487845,103,0.08737864077669903,0.04665069238646754,0.15777904284774835
"(764.0, inf]",330,0.024242424242424242,0.012333966073782753,0.04710020869652748,118,0.00847457627118644,0.0014975019757751395,0.04644671412119009
Faltante,126,0.047619047619047616,0.022004188389251493,0.10000293413542474,36,0.08333333333333333,0.0287480892712918,0.21827010276918848
