,tramo,creditos,defaults,monto,perdida,pct_creditos,default_rate,pct_defaults,pct_perdida,pct_perdida_acumulada
DEV,Q1 (bajo),676,148,5223410.64,260146.358319,0.19634040081324428,0.21893491124260356,0.42165242165242167,0.4035682461606984,0.4035682461606984
DEV,Q2,659,79,5065938.2,158408.589638,0.19140284635492302,0.11987860394537178,0.22507122507122507,0.24574119395746455,0.6493094401181629
DEV,Q3,664,54,5393064.7,92081.161367,0.19285506825442927,0.08132530120481928,0.15384615384615385,0.1428466384747634,0.7921560785929264
DEV,Q4,664,45,5108390.82,83509.119324,0.19285506825442927,0.0677710843373494,0.1282051282051282,0.12954872419426733,0.9217048027871937
DEV,Q5 (alto),654,19,5063056.37,41418.226927,0.1899506244554168,0.0290519877675841,0.05413105413105413,0.06425260498753023,0.985957407774724
DEV,Faltante,126,6,908784.51,9052.07301,0.03659599186755736,0.047619047619047616,0.017094017094017096,0.014042592225276157,1.0000000000000002
VAL,Q1 (bajo),213,55,1700090.23,121959.071061,0.18505647263249347,0.25821596244131456,0.3416149068322981,0.33172915265126474,0.33172915265126474
VAL,Q2,209,38,1638159.54,93628.77527700001,0.18158123370981755,0.18181818181818182,0.2360248447204969,0.25467063676534557,0.5863997894166103
VAL,Q3,225,31,1823097.45,86975.647782,0.19548218940052128,0.13777777777777778,0.19254658385093168,0.23657410382854338,0.8229738932451537
VAL,Q4,247,24,1874312.9,42090.608237,0.2145960034752389,0.09716599190283401,0.14906832298136646,0.1144866198435758,0.9374605130887295
VAL,Q5 (alto),221,10,1823133.74,15068.887672,0.19200695047784536,0.04524886877828054,0.062111801242236024,0.04098743369674746,0.978447946785477
VAL,Faltante,36,3,298904.82,7923.537526000001,0.03127715030408341,0.08333333333333333,0.018633540372670808,0.021552053214523123,1.0
