variable,tipo,auc_dev,p_dev,auc_val_info,misma_direccion_en_val,p_val_info,q_bh,senal_en_dev
bureau_score,numérica,0.30519339926268363,1.8431075141752367e-32,0.32484160681454444,True,,4.054836531185521e-31,True
dti,numérica,0.5711919954938968,1.4725122118511432e-05,0.5320363671913189,True,,0.00014057400011138112,True
dti_post,numérica,0.5702323266616256,1.916918183337015e-05,0.5380389089842604,True,,0.00014057400011138112,True
prior_delinquencies_24m,numérica,0.5434279438160422,0.002452531859810808,0.4911694585607629,False,,0.013488925228959444,True
monthly_debt_payment,numérica,0.5441719832082057,0.00660198244853923,0.5522209674383587,True,,0.02904872277357261,True
ahorro_sobre_monto,numérica,0.45968147705952583,0.016601211030955156,0.4521370540445072,True,,0.06087110711350224,False
savings_balance,numérica,0.4654640329183012,0.04018304229374651,0.49453226186271043,True,,0.12628956149463189,False
region,categórica,,0.1325477737781547,,,0.41090338886721745,0.3645063778899254,False
relationship_months,numérica,0.4814593676171942,0.23169763265658339,0.4597057531840141,True,,0.5168867314822261,False
active_loans,numérica,0.48163305359295006,0.24671579840776847,0.4941621180751616,True,,0.5168867314822261,False
new_customer_flag,numérica,0.5158362910626818,0.25844336574111304,0.5480174414957023,True,,0.5168867314822261,False
bureau_inquiries_6m,numérica,0.5156579980318661,0.32204027707744587,0.5000972457494197,True,,0.5904071746419841,False
age,numérica,0.5136663681294988,0.4004601395933136,0.4655310872702177,False,,0.6688952604753651,False
employment_tenure_months,numérica,0.4870560181038835,0.4260166745627221,0.5043635108852501,False,,0.6688952604753651,False
channel,categórica,,0.45606495032411254,,,0.042222414015224585,0.6688952604753651,False
cash_income_share,numérica,0.5100000737128809,0.5386104278381072,0.5134952004517221,True,,0.6926635077742327,False
employment_type,categórica,,0.5409500595497096,,,0.6215047784463335,0.6926635077742327,False
distance_to_branch_km,numérica,0.4906836132579988,0.5667246881789176,0.4961540874584353,True,,0.6926635077742327,False
household_dependents,numérica,0.506759010478286,0.6709641387066468,0.4842305037957212,False,,0.7769058448182227,False
term_months,numérica,0.4964198575130011,0.8244092349679963,0.4884559884559885,True,,0.906850158464796,False
monthly_income,numérica,0.5014636155306246,0.9290443843924759,0.5485515038941571,True,,0.97328459317307,False
requested_amount,numérica,0.4999594579154734,0.9980334063634344,0.5489679402722881,False,,0.9980334063634344,False
