seg,dimension,creditos,monto,pct_monto,pd_ponderada,ead,lgd,el,el_sobre_monto,pct_el,default_observado,margen_sobre_monto,resultado_sobre_monto
600-620,Banda de score,428.0,2805392.148,0.4542409049745604,0.10841904913604473,1164237.7414199999,0.6857946426530235,86564.8051967928,0.030856579269499262,0.4687859525891516,0.09433962264150944,0.10442201647764623,0.07356543720814697
580-600,Banda de score,271.0,1405852.804,0.22763158099135852,0.16270611159799317,583428.9136599998,0.6857946426530236,65100.736606451486,0.0463069365592356,0.3525487148608694,0.16113744075829384,0.10056645700207163,0.05425952044283603
620-640,Banda de score,184.0,1045013.6739999999,0.16920556269716563,0.06938628063810778,433680.67471,0.6857946426530236,20636.58194753968,0.019747666907121906,0.11175603877890898,0.042682926829268296,0.09002095224150908,0.07027328533438716
> 640,Banda de score,135.0,910957.014,0.14749949974989496,0.045060055404345205,378047.16081000003,0.6857946426530234,11682.3924172501,0.012824307006488563,0.06326522014796579,0.024793388429752067,0.09559394934607651,0.08276964233958795
560-580,Banda de score,4.0,8785.062,0.0014224515870205612,0.2691329635625323,3645.80073,0.6857946426530234,672.9052386585383,0.07659652699759413,0.003644073623104053,0.25,0.10949164792398502,0.03289512092639088
Lima,Región,410.0,2462206.778,0.39867333195131494,0.1032517005917379,1021815.81287,0.6857946426530237,72354.22910727447,0.029385927190910557,0.3918295216953143,0.07977207977207977,0.09848431683127763,0.06909838964036707
Norte,Región,196.0,1239577.8699999996,0.2007088291940417,0.10672789505976125,514424.81605,0.6857946426530235,37652.510926958246,0.030375268741251613,0.20390467190610076,0.10650887573964497,0.10557237156069822,0.07519710281944661
Centro,Región,166.0,952644.246,0.15424937463033342,0.10631717817354179,395347.36209,0.6857946426530235,28825.468507580794,0.030258376753561782,0.15610241000872146,0.1223021582733813,0.09761756189108088,0.0673591851375191
Sur,Región,143.0,858508.036,0.13900711438099186,0.1029449435117072,356280.83494,0.6857946426530234,25153.10299789712,0.029298622660646968,0.13621495852311022,0.07142857142857142,0.09630290629694199,0.06700428363629503
Oriente,Región,107.0,663063.772,0.10736134984331808,0.10954367830026639,275171.46538,0.6857946426530235,20672.109866981973,0.031176654101654,0.1119484378667531,0.09302325581395349,0.10167616394470685,0.07049950984305285
app,Canal,380.0,2334435.7180000003,0.37798501500235104,0.10338933559508891,968790.8229699999,0.6857946426530236,68691.00157507908,0.029425098770305514,0.3719915563198127,0.07716049382716049,0.09692830453782805,0.06750320576752254
web,Canal,330.0,1936087.5699999998,0.31348564603838674,0.10686804626778582,803476.34155,0.6857946426530236,58886.40633183248,0.030415156444515826,0.31889542203743904,0.0931899641577061,0.10272625646543293,0.07231110002091712
agencia,Canal,228.0,1371293.932,0.22203590934760228,0.1046330259224714,569086.9817799999,0.6857946426530236,40835.84287749691,0.029779058978215405,0.2211437946355774,0.09278350515463918,0.0959950477094737,0.06621598873125831
alianza,Canal,84.0,534183.482,0.08649342961166004,0.10684763234339421,221686.14502999996,0.6857946426530235,16244.170622284157,0.03040934654412275,0.08796922700717087,0.14864864864864866,0.11165823618048286,0.0812488896363601
5k-10k,Tramo de monto,382.0,2273708.4379999996,0.36815223114590895,0.10285729606602084,943589.00177,0.6857946426530235,66559.80817726666,0.029273677778938988,0.3604502200356964,0.08641975308641975,0.09740984283763046,0.06813616505869148
10k-20k,Tramo de monto,225.0,2230013.868,0.36107733395785485,0.10447381726565048,925455.75522,0.6857946426530235,66306.66912541163,0.029733747433992028,0.3590793623148062,0.08717948717948718,0.1004330872871627,0.07069933985317067
<= 5k,Tramo de monto,362.0,979333.0859999999,0.15857075367281911,0.10329728947570828,406423.23069,0.6857946426530236,28791.31742562014,0.029398902005053,0.15591746709280455,0.10064935064935066,0.09900828550652518,0.0696093835014722
> 20k,Tramo de monto,53.0,692945.3099999999,0.11219968122341706,0.11662177366852862,287572.30365,0.6857946426530233,22999.626678394194,0.033191113853406694,0.12455295055669291,0.09090909090909091,0.10683741756082996,0.07364630370742327
30-45%,Capacidad (DTI post),339.0,2446115.226,0.3960678348381444,0.10196568548725139,1015137.8187899999,0.6857946426530236,70986.07098053422,0.029019921149264057,0.3844203522380685,0.08450704225352113,0.09285456294474184,0.06383464179547779
<= 30%,Capacidad (DTI post),306.0,2105543.2199999997,0.34092341008286364,0.09533324097768074,873800.4363,0.6857946426530235,57128.22138184165,0.0271322957606359,0.3093740882259018,0.07142857142857142,0.1212173914509894,0.09408509569035352
45-60%,Capacidad (DTI post),236.0,1149953.4039999999,0.18619709735907344,0.11722596444036061,477230.66266000003,0.6857946426530236,38365.975262491746,0.033363069433108745,0.20776839062424615,0.09844559585492228,0.08344097022744605,0.0500779007943373
> 60%,Capacidad (DTI post),105.0,324220.0,0.052496755690945196,0.14091690796486825,134551.30000000002,0.6857946426530236,13003.045777942347,0.04010562512473736,0.07041713070012073,0.1368421052631579,0.06816165400683545,0.028056028882098093
nan,Capacidad (DTI post),36.0,150168.85199999996,0.024314902028973243,0.12106356102944277,62320.07358,0.6857946426530233,5174.108003882651,0.034455267753413024,0.02802003821166282,0.15151515151515152,0.1067419768909809,0.07228670913756788
40-80%,Ingreso en efectivo,638.0,3967213.4519999996,0.6423596180478542,0.10542153930004705,1646393.58258,0.6857946426530235,119030.18427880737,0.030003473651966078,0.6446000565374153,0.09872029250457039,0.09994527155254135,0.06994179790057527
<= 40%,Ingreso en efectivo,211.0,1258812.1999999997,0.20382319574418983,0.10208752615366228,522407.06299999997,0.6857946426530235,36574.28190598912,0.02905459758492103,0.19806559426299636,0.06741573033707865,0.10339117644314376,0.07433657885822273
> 80%,Ingreso en efectivo,173.0,949975.05,0.15381718620795587,0.10745730161429065,394239.64575,0.6857946426530235,29052.95522189611,0.030582861330827698,0.1573343491995883,0.0958904109589041,0.0945172573011762,0.0639343959703485
