mes,creditos,defaults,default_rate,aprobacion_ttd
1,493,48,0.0973630831643002,0.8355932203389831
2,474,61,0.12869198312236288,0.8330404217926186
3,464,50,0.10775862068965517,0.8226950354609929
4,483,59,0.12215320910973085,0.817258883248731
5,504,59,0.11706349206349206,0.8221859706362153
6,473,51,0.10782241014799154,0.8356890459363958
7,501,60,0.11976047904191617,0.8186274509803921
8,506,59,0.116600790513834,0.847571189279732
9,521,60,0.11516314779270634,0.8389694041867954
10,423,59,0.13947990543735225,0.7775735294117647
11,470,53,0.1127659574468085,0.8303886925795053
12,471,52,0.11040339702760085,0.8306878306878307
