,grupo,solicitudes,tasa,air,alerta_4_5
Región,Centro,226,0.5398230088495575,1.0,False
Región,Sur,197,0.5380710659898477,0.9967545976533244,False
Región,Norte,284,0.5211267605633803,0.9653659662895405,False
Región,Oriente,157,0.49044585987261147,0.9085308551738541,False
Región,Lima,593,0.4856661045531197,0.899676554336107,False
Ingreso en efectivo (quintiles),Q4,291,0.5601374570446735,1.0,False
Ingreso en efectivo (quintiles),Q2,291,0.5429553264604811,0.9693251533742331,False
Ingreso en efectivo (quintiles),Q1 bajo,292,0.5376712328767124,0.9598915875283638,False
Ingreso en efectivo (quintiles),Q3,291,0.4879725085910653,0.8711656441717791,False
Ingreso en efectivo (quintiles),Q5 alto,292,0.4143835616438356,0.7397890579040255,True
