,grupo,solicitudes,favorables,tasa,ic_inf,ic_sup,air,alerta_4_5
Región,Oriente,138,82,0.5942028985507246,0.5107992189415289,0.6725038458857149,1.0,False
Región,Sur,225,130,0.5777777777777777,0.5124647492763668,0.6404794706556733,0.9723577235772357,False
Región,Lima,563,297,0.5275310834813499,0.48624464027252084,0.5684443592645633,0.8877962136637353,False
Región,Norte,243,128,0.5267489711934157,0.4640446994980085,0.5886206535056993,0.8864799759108704,False
Región,Centro,220,103,0.4681818181818182,0.4033562002215489,0.5340995720745747,0.7879157427937916,True
Ingreso en efectivo (quintiles),Q4,278,163,0.5863309352517986,0.5276443450544237,0.6426640835097059,1.0,False
Ingreso en efectivo (quintiles),Q3,277,158,0.5703971119133574,0.5115302772552875,0.6273380385497783,0.9728245221589776,False
Ingreso en efectivo (quintiles),Q1 bajo,278,154,0.5539568345323741,0.4951830680554617,0.6112596997971192,0.9447852760736196,False
Ingreso en efectivo (quintiles),Q2,278,144,0.5179856115107914,0.4594031770857781,0.576077745531749,0.8834355828220859,False
Ingreso en efectivo (quintiles),Q5 alto,278,121,0.4352517985611511,0.37824458405029715,0.4940240945266057,0.7423312883435583,True
Distancia a agencia,20-50 km,193,105,0.5440414507772021,0.4735979211654248,0.6127659368808418,1.0,False
Distancia a agencia,5-20 km,846,459,0.5425531914893617,0.5088653940929989,0.5758562763924185,0.9972644376899694,False
Distancia a agencia,<= 5 km,329,167,0.5075987841945289,0.45380076592699337,0.5612213947644586,0.9330149080908958,False
Distancia a agencia,> 50 km,21,9,0.42857142857142855,0.24469699486521043,0.6345378370296754,0.7877551020408162,True
Edad,46-60,311,184,0.5916398713826366,0.536215127194066,0.6448282927351936,1.0,False
Edad,31-45,765,408,0.5333333333333333,0.49790167057066564,0.5684318889037436,0.9014492753623189,False
Edad,<= 30,296,140,0.47297297297297297,0.4168056571965607,0.5298328345937713,0.7994271445358402,True
Edad,> 60,17,8,0.47058823529411764,0.26164801196088106,0.6903710268845051,0.7953964194373402,True
Canal,agencia,302,163,0.5397350993377483,0.4833736228431964,0.5950983705023785,1.0,False
Canal,app,457,245,0.5361050328227571,0.49027124506839725,0.5813368736431079,0.9932743552912433,False
Canal,web,514,273,0.5311284046692607,0.48791508543808376,0.5738798727112809,0.984053854049796,False
Canal,alianza,116,59,0.5086206896551724,0.41883677386447277,0.5978519218805773,0.9423524434101967,False
