,grupo,solicitudes,favorables,tasa,ic_inf,ic_sup,air,alerta_4_5
Región,Sur,225,180,0.8,0.742893630985402,0.8470340744667537,1.0,False
Región,Oriente,138,110,0.7971014492753623,0.7223838506625397,0.8557258153310756,0.9963768115942029,False
Región,Norte,243,184,0.757201646090535,0.6995588877848681,0.8068387372507823,0.9465020576131686,False
Región,Lima,563,425,0.7548845470692718,0.7177030062423614,0.7886112797945138,0.9436056838365897,False
Región,Centro,220,164,0.7454545454545455,0.6840205554022593,0.7984634868847865,0.9318181818181818,False
Ingreso en efectivo (quintiles),Q4,278,224,0.8057553956834532,0.7552121550796549,0.8479635294183041,1.0,False
Ingreso en efectivo (quintiles),Q1 bajo,278,216,0.7769784172661871,0.7244572269237234,0.8219489813861925,0.9642857142857144,False
Ingreso en efectivo (quintiles),Q2,278,209,0.7517985611510791,0.6978177829285626,0.7989151337168154,0.9330357142857143,False
Ingreso en efectivo (quintiles),Q5 alto,278,209,0.7517985611510791,0.6978177829285626,0.7989151337168154,0.9330357142857143,False
Ingreso en efectivo (quintiles),Q3,277,205,0.740072202166065,0.6853866527390441,0.7881899114166936,0.9184824651882414,False
Distancia a agencia,> 50 km,21,18,0.8571428571428571,0.6536350585077049,0.950190782017865,1.0,False
Distancia a agencia,5-20 km,846,650,0.7683215130023641,0.7387164627846731,0.7955007372205986,0.8963750985027581,False
Distancia a agencia,20-50 km,193,148,0.7668393782383419,0.7023311558300993,0.8209322193913984,0.8946459412780656,False
Distancia a agencia,<= 5 km,329,247,0.7507598784194529,0.7013030359075445,0.7944282669103724,0.8758865248226951,False
Edad,46-60,311,247,0.7942122186495176,0.7458214214684649,0.8354232425149477,1.0,False
Edad,31-45,765,590,0.7712418300653595,0.7401648705756467,0.7996082114219976,0.9710777698393799,False
Edad,> 60,17,13,0.7647058823529411,0.5273775411082839,0.9044511092832406,0.9628482972136223,False
Edad,<= 30,296,213,0.7195945945945946,0.6658584614593732,0.7677037927441797,0.9060482547324653,False
Canal,alianza,116,91,0.7844827586206896,0.7011826510997561,0.8495443084868981,1.0,False
Canal,app,457,350,0.7658643326039387,0.7249221029604151,0.802374043915214,0.976266621780845,False
Canal,agencia,302,231,0.7649006622516556,0.7139304590557728,0.8092161632480604,0.9750382068262864,False
Canal,web,514,391,0.7607003891050583,0.7219673857883486,0.7955653887125798,0.9696840124855689,False
