,grupo,creditos,default_observado,buenos_no_aprobados,malos_aprobados
Región,Centro,181,0.15469613259668508,0.43790849673202614,0.2857142857142857
Región,Lima,488,0.15163934426229508,0.4347826086956522,0.44594594594594594
Región,Norte,193,0.14507772020725387,0.36969696969696975,0.32142857142857145
Región,Oriente,102,0.08823529411764706,0.32258064516129037,0.5555555555555556
Región,Sur,187,0.11764705882352941,0.38787878787878793,0.4090909090909091
Ingreso en efectivo (quintiles),Q1 bajo,236,0.1483050847457627,0.42288557213930345,0.42857142857142855
Ingreso en efectivo (quintiles),Q2,232,0.1206896551724138,0.42647058823529416,0.39285714285714285
Ingreso en efectivo (quintiles),Q3,228,0.13596491228070176,0.36548223350253806,0.45161290322580644
Ingreso en efectivo (quintiles),Q4,233,0.10300429184549356,0.354066985645933,0.4583333333333333
Ingreso en efectivo (quintiles),Q5 alto,222,0.19369369369369369,0.4692737430167597,0.3023255813953488
