modelo,muestra,n,mae,rmse,sesgo,r2,media_predicha,media_observada
Baseline global,DEV,351,0.11027860325809044,0.14033265135649947,5.946493693148987e-17,0.0,0.6164367521367522,0.6164367521367522
Baseline global,VAL,161,0.12536879014705105,0.1552541994199088,-0.009593061527844076,-0.003832560560923959,0.6164367521367522,0.6260298136645963
Baseline por plazo,DEV,351,0.11078327395301754,0.13960851225976978,1.3917325664816778e-17,0.01029369505283384,0.6164367521367522,0.6164367521367522
Baseline por plazo,VAL,161,0.12538286351329828,0.15616807182527626,-0.008035496553136292,-0.015685056027890498,0.6179943171114601,0.6260298136645963
Baseline por banda de buró,DEV,351,0.10975224123833197,0.13963530663810145,-0.002164898823873169,0.009913759624371465,0.6142718533128789,0.6164367521367522
Baseline por banda de buró,VAL,161,0.12482906767799898,0.15586023725777542,-0.014030375781606966,-0.011684816931572861,0.6119994378829894,0.6260298136645963
Baseline plazo x monto,DEV,351,0.1101600806672774,0.13962059778840863,0.002890756568534348,0.010122335277991223,0.6193275087052864,0.6164367521367522
Baseline plazo x monto,VAL,161,0.12558815127110393,0.15481162259556133,-0.00791549125096834,0.0018824512451831588,0.618114322413628,0.6260298136645963
Logística fraccional,DEV,351,0.10838026616678917,0.13752066994767156,-2.2922161760485435e-06,0.03967441907289704,0.6164344599205761,0.6164367521367522
Logística fraccional,VAL,161,0.12352194242328007,0.15514929580828193,-0.01523668439955075,-0.002476460893318766,0.6107931292650455,0.6260298136645963
Boosting acotado,DEV,351,0.09432234525614895,0.11979241084471477,-1.0404159075690205e-06,0.2713127856929757,0.6164357117208445,0.6164367521367522
Boosting acotado,VAL,161,0.1332872526969608,0.16511996653793143,-0.01559260308893572,-0.13546499537497625,0.6104372105756606,0.6260298136645963
