,count,mean,std,5%,25%,50%,75%,95%,max,min
requested_amount,7000.0,7891.704547142857,5991.550101790363,2064.7645,3935.9275,6309.08,10004.875,18936.749499999994,78915.47,512.01
term_months,7000.0,26.287285714285716,18.17764598637638,6.0,9.0,18.0,36.0,60.0,60.0,6.0
annual_interest_rate_offer,7000.0,0.2951027,0.07239308534243091,0.1818,0.245375,0.2927,0.3403,0.4190049999999999,0.6387,0.0897
monthly_income,6830.0,4119.272026354319,2542.6411518155937,1348.9025000000001,2361.08,3497.02,5232.0625,8909.742,33678.15,529.23
dti,7000.0,0.28570055714285714,0.16015689362015398,0.06319000000000001,0.15935,0.2647,0.388925,0.5839349999999994,0.859,0.0024
bureau_score,6771.0,665.2092748486191,74.40984597730497,540.0,616.0,667.0,716.0,788.0,850.0,379.0
cash_income_share,7000.0,0.5961230096584583,0.201013795507194,0.2471439163883406,0.4473073282456682,0.6113213756827005,0.7544057095470008,0.8977886829184858,0.9963013038784938,0.0147413230137496
distance_to_branch_km,7000.0,12.210357142857143,11.366657003198757,2.3,5.2,9.0,15.2,32.80499999999992,150.0,0.5
household_dependents,7000.0,2.1977142857142855,1.468844100040264,0.0,1.0,2.0,3.0,5.0,8.0,0.0
age,7000.0,38.11257142857143,9.724974247769103,21.0,32.0,38.0,45.0,54.04999999999927,72.0,18.0
employment_tenure_months,7000.0,41.66328571428571,26.972215505266668,9.0,22.0,36.0,56.0,93.0,240.0,0.0
relationship_months,7000.0,22.314714285714285,27.663531835825722,0.0,0.0,13.0,38.0,76.0,180.0,0.0
