banda,creditos,pd_desarrollo,default_observado,observado_sobre_predicho,muestra
"(-inf, 560.0]",129,0.3350964551821664,0.27906976744186046,0.8328042959754722,DEV
"(560.0, 580.0]",483,0.21102118711119763,0.23809523809523808,1.1283001548549425,DEV
"(580.0, 600.0]",881,0.12138402308091373,0.1112372304199773,0.9164075106146988,DEV
"(600.0, 620.0]",1140,0.06545512063444693,0.07017543859649122,1.0721153351531696,DEV
"(620.0, 640.0]",491,0.03694232373351325,0.032586558044806514,0.8820928071518338,DEV
"(640.0, inf]",319,0.01984406765358096,0.018808777429467086,0.9478287293619939,DEV
"(-inf, 560.0]",33,0.33694972273232715,0.2727272727272727,0.8094004960613286,VAL
"(560.0, 580.0]",156,0.2136482179822373,0.2564102564102564,1.2001516269682826,VAL
"(580.0, 600.0]",291,0.12196782432878252,0.2027491408934708,1.6623166151339237,VAL
"(600.0, 620.0]",393,0.06502053097703461,0.089058524173028,1.3696985065299399,VAL
"(620.0, 640.0]",170,0.0372109848217579,0.07647058823529412,2.0550541352665426,VAL
"(640.0, inf]",108,0.01947270758545649,0.046296296296296294,2.377496611250581,VAL
