variable,tipo,tramos,iv_dev,poder,p_permutacion,tendencia,psi_val,psi_oot,iv_val_info,S1,S2,S3,S4,S5,S6,S7,pasa,no_cumple
bureau_score,numérica,6,0.4940632531828628,Fuerte,0.004975124378109453,-,0.006933252896230252,0.008728342062354188,0.39866568474764164,True,True,True,True,True,True,True,True,
dti_post,numérica,4,0.09042192243020075,Débil,0.004975124378109453,+,0.0038385035221672847,0.0007006163842020673,0.04855180269367357,True,True,True,True,True,True,True,True,
dti,numérica,4,0.0889469452995855,Débil,0.004975124378109453,+,0.0018542889306352671,0.0020904604707496334,0.010985059738788735,True,True,True,True,True,True,True,True,
ahorro_sobre_monto,numérica,3,0.04697709722536249,Débil,0.004975124378109453,-,0.002036923869461607,0.00300888251995691,0.03350260659380049,True,True,True,True,True,True,True,True,
prior_delinquencies_24m,numérica,3,0.029939454975609202,Débil,0.004975124378109453,+,0.0010778161215196907,0.00023991931508909745,-0.00756304067591661,True,True,True,True,True,False,True,False,S6
monthly_debt_payment,numérica,4,0.027758684529043908,Débil,0.024875621890547265,+,0.0030991444725132398,0.0011170102028623373,0.02562219296960552,True,True,True,True,True,True,True,True,
region,categórica,4,0.02319912918284588,Débil,0.0945273631840796,por categoría,0.006196156880564345,0.00042621281935067745,0.017026985117742893,True,False,True,True,True,True,False,False,"S2, S7"
savings_balance,numérica,4,0.020761167051486337,Débil,0.07462686567164178,-,0.0027971376652251513,0.006406044916556052,0.002597263750858014,True,False,True,True,True,True,True,False,S2
employment_tenure_months,numérica,5,0.012929428270494606,Sin poder,,-,0.012860501050830548,0.003526261413135773,-0.0020441880979187965,False,False,True,True,True,False,True,False,"S1, S2, S6"
term_months,numérica,2,0.011345298961700102,Sin poder,,-,1.8955911953830815e-05,4.036418724535699e-05,0.0067189518141436925,False,False,False,True,True,True,True,False,"S1, S2, S3"
relationship_months,numérica,2,0.010566540476525327,Sin poder,,-,0.003961662911255626,0.0027261295704027306,0.00930476658431221,False,False,True,True,True,True,True,False,"S1, S2"
age,numérica,2,0.009078255005455881,Sin poder,,+,0.0007940813160873758,0.0007040143840392883,-0.005877340910011347,False,False,False,True,True,False,False,False,"S1, S2, S3, S6, S7"
household_dependents,numérica,2,0.008786782510085217,Sin poder,,+,0.0014790831143347309,4.111486642585587e-05,0.007199810604892803,False,False,False,True,True,True,False,False,"S1, S2, S3, S7"
bureau_inquiries_6m,numérica,3,0.00809305663196934,Sin poder,,+,0.003524019940251818,0.0002945074706784311,0.005435216949703427,False,False,True,False,True,True,True,False,"S1, S2, S4"
channel,categórica,3,0.007645684573880797,Sin poder,,por categoría,0.0020950565689094956,8.741114639750124e-05,-0.008730357004901042,False,False,True,True,True,False,True,False,"S1, S2, S6"
employment_type,categórica,4,0.0071907284553956894,Sin poder,,por categoría,0.003519571455888182,8.490199343278674e-05,0.00935452033859532,False,False,True,True,True,True,True,False,"S1, S2"
monthly_income,numérica,2,0.006183857182011615,Sin poder,,-,9.624608793756936e-05,0.0013776617071357509,-0.011046303371956407,False,False,True,True,True,False,True,False,"S1, S2, S6"
requested_amount,numérica,2,0.004753029247612077,Sin poder,,-,0.00022167390853980527,0.003940386504519068,-0.009774198887903535,False,False,False,False,True,False,True,False,"S1, S2, S3, S4, S6"
cash_income_share,numérica,3,0.0043820175629391556,Sin poder,,+,0.0014057817891647922,0.003495740721099127,0.0052400345061299446,False,False,False,True,True,True,False,False,"S1, S2, S3, S7"
new_customer_flag,numérica,2,0.004041844413287819,Sin poder,,+,0.003585850227828141,1.4789647010955446e-05,0.012255333454127201,False,False,True,True,True,True,True,False,"S1, S2"
distance_to_branch_km,numérica,3,0.0021181489880762582,Sin poder,,-,0.000662695179414374,0.002761104529197392,-0.00011717748657571933,False,False,False,False,True,False,False,False,"S1, S2, S3, S4, S6, S7"
active_loans,numérica,1,0.0,Sin poder,,+,0.0,0.0,0.0,False,False,True,False,True,False,True,False,"S1, S2, S4, S6"
