variable,tramo,orden,creditos,defaults,buenos,woe,pct_creditos,default_rate,iv_tramo,muestra
bureau_score,<= 596,0,510,122,388,-1.0140641321620014,0.14812663374963694,0.23921568627450981,0.22521677314473912,DEV
bureau_score,"(596, 642]",1,656,91,565,-0.34687494871022234,0.19053151321521927,0.13871951219512196,0.026546213014584954,DEV
bureau_score,"(642, 670]",2,502,41,461,0.24054235472133217,0.14580307871042694,0.08167330677290836,0.007765987003572086,DEV
bureau_score,"(670, 698]",3,496,38,458,0.30905577841785914,0.14406041243101947,0.07661290322580645,0.01231960715264963,DEV
bureau_score,"(698, 732]",4,499,34,465,0.43390650069488573,0.14493174557072322,0.06813627254509018,0.023223544360286296,DEV
bureau_score,> 732,5,654,19,635,1.3157513530748854,0.1899506244554168,0.0290519877675841,0.1989911285070308,DEV
bureau_score,Faltante / no visto,-1,126,6,120,0.0,0.03659599186755736,0.047619047619047616,0.0,DEV
dti_post,<= 0.4131,0,1679,133,1546,0.2788961400851053,0.48765611385419694,0.07921381774865992,0.03376947565133041,DEV
dti_post,"(0.4131, 0.4926]",1,504,48,456,0.07127292789187094,0.14638396747022944,0.09523809523809523,0.0007644181295553419,DEV
dti_post,"(0.4926, 0.5931]",2,503,60,443,-0.17869753748687633,0.1460935230903282,0.11928429423459244,0.004944062020284345,DEV
dti_post,> 0.5931,3,672,103,569,-0.4655648040179017,0.19517862329363928,0.15327380952380953,0.05094396662903065,DEV
dti_post,Faltante / no visto,-1,85,7,78,0.0,0.024687772291606156,0.08235294117647059,0.0,DEV
dti,<= 0.1118,0,504,38,466,0.32384780479394537,0.14638396747022944,0.07539682539682539,0.013747146728122078,DEV
dti,"(0.1118, 0.2893]",1,1343,112,1231,0.222283021716403,0.3900668022073773,0.08339538346984364,0.017568332535177533,DEV
dti,"(0.2893, 0.462]",2,1007,111,896,-0.08627827205470052,0.29247749056055766,0.11022840119165839,0.002282857387986626,DEV
dti,> 0.462,3,504,83,421,-0.5517788286146145,0.14638396747022944,0.16468253968253968,0.05534860864829926,DEV
dti,Faltante / no visto,-1,85,7,78,0.0,0.024687772291606156,0.08235294117647059,0.0,DEV
ahorro_sobre_monto,<= 0.1255,0,319,46,273,-0.40015848344999483,0.0926517571884984,0.14420062695924765,0.017111482493587727,DEV
ahorro_sobre_monto,"(0.1255, 0.5985]",1,1753,195,1558,-0.09608907293674879,0.5091489979668894,0.11123787792355962,0.004965361753738849,DEV
ahorro_sobre_monto,> 0.5985,2,1116,87,1029,0.29318194038555523,0.3241359279697938,0.07795698924731183,0.02490025297803591,DEV
ahorro_sobre_monto,Faltante / no visto,-1,255,23,232,0.0,0.07406331687481847,0.09019607843137255,0.0,DEV
prior_delinquencies_24m,<= 0,0,1978,175,1803,0.157837664718953,0.5744989834446703,0.0884732052578362,0.013343947298015732,DEV
prior_delinquencies_24m,"(0, 1]",1,1098,129,969,-0.15890819917560597,0.3189079291315713,0.11748633879781421,0.008602014751207672,DEV
prior_delinquencies_24m,> 1,2,367,47,320,-0.26285522739859096,0.10659308742375835,0.12806539509536785,0.0079934929263858,DEV
monthly_debt_payment,<= 602.8,0,1205,102,1103,0.20562745291861345,0.3499854777810049,0.08464730290456432,0.0135978857934233,DEV
monthly_debt_payment,"(602.8, 948.6]",1,690,68,622,0.03615790887096847,0.20040662213186175,0.09855072463768116,0.00026872923872398556,DEV
monthly_debt_payment,"(948.6, 2,032]",2,1031,115,916,-0.09946043688180316,0.2994481556781876,0.11154219204655674,0.0031217592334060735,DEV
monthly_debt_payment,"> 2,032",3,517,66,451,-0.2553785490044829,0.1501597444089457,0.1276595744680851,0.01077031026349055,DEV
region,Sur,0,498,38,460,0.3109026402019083,0.14464130119082197,0.07630522088353414,0.012594328230408682,DEV
region,Centro / Oriente,1,858,79,779,0.11214369263783018,0.24920127795527156,0.09207459207459208,0.003013218766020361,DEV
region,Norte,2,667,72,595,-0.06493714726498882,0.19372640139413302,0.10794602698650675,0.0008244499656905974,DEV
region,Lima,3,1420,162,1258,-0.12375416139413632,0.41243101945977345,0.11408450704225352,0.006767132220726238,DEV
savings_balance,<= 881.2,0,479,61,418,-0.2531122590826569,0.13912285797269822,0.12734864300626306,0.009770536392057466,DEV
savings_balance,"(881.2, 1,721]",1,637,73,564,-0.132096996828789,0.18501306999709555,0.11459968602825746,0.0033778520950974987,DEV
savings_balance,"(1,721, 7,693]",2,1593,154,1439,0.061105039514715784,0.46267789718268953,0.09667294413057125,0.0016283349069237524,DEV
savings_balance,"> 7,693",3,479,40,439,0.2135837688130235,0.13912285797269822,0.08350730688935282,0.005984443657407621,DEV
savings_balance,Faltante / no visto,-1,255,23,232,0.0,0.07406331687481847,0.09019607843137255,0.0,DEV
bureau_score,<= 596,0,154,40,114,-1.0140641321620014,0.13379669852302345,0.2597402597402597,0.1351703780156464,VAL (información)
bureau_score,"(596, 642]",1,212,44,168,-0.34687494871022234,0.1841876629018245,0.20754716981132076,0.03593449496896412,VAL (información)
bureau_score,"(642, 670]",2,165,25,140,0.24054235472133217,0.14335360556038226,0.15151515151515152,-0.0033352067503240094,VAL (información)
bureau_score,"(670, 698]",3,166,18,148,0.30905577841785914,0.14422241529105126,0.10843373493975904,0.011649458038361862,VAL (información)
bureau_score,"(698, 732]",4,197,21,176,0.43390650069488573,0.17115551694178974,0.1065989847715736,0.02054243336623131,VAL (información)
bureau_score,> 732,5,221,10,211,1.3157513530748854,0.19200695047784536,0.04524886877828054,0.19870412710876195,VAL (información)
bureau_score,Faltante / no visto,-1,36,3,33,0.0,0.03127715030408341,0.08333333333333333,0.0,VAL (información)
dti_post,<= 0.4131,0,566,71,495,0.2788961400851053,0.4917463075586447,0.1254416961130742,0.016456604539183232,VAL (información)
dti_post,"(0.4131, 0.4926]",1,186,23,163,0.07127292789187094,0.16159860990443092,0.12365591397849462,0.001552988760703105,VAL (información)
dti_post,"(0.4926, 0.5931]",2,148,27,121,-0.17869753748687633,0.12858384013900956,0.18243243243243243,0.008127099876042205,VAL (información)
dti_post,> 0.5931,3,224,38,186,-0.4655648040179017,0.19461337966985232,0.16964285714285715,0.02241510951774502,VAL (información)
dti_post,Faltante / no visto,-1,27,2,25,0.0,0.023457862728062554,0.07407407407407407,0.0,VAL (información)
dti,<= 0.1118,0,183,21,162,0.32384780479394537,0.158992180712424,0.11475409836065574,0.010752259131498583,VAL (información)
dti,"(0.1118, 0.2893]",1,445,67,378,0.222283021716403,0.38662033014769764,0.15056179775280898,-0.007631173190489723,VAL (información)
dti,"(0.2893, 0.462]",2,339,47,292,-0.08627827205470052,0.2945264986967854,0.13864306784660768,-0.00026090800633895396,VAL (información)
dti,> 0.462,3,157,24,133,-0.5517788286146145,0.1364031277150304,0.15286624203821655,0.00812488180411883,VAL (información)
dti,Faltante / no visto,-1,27,2,25,0.0,0.023457862728062554,0.07407407407407407,0.0,VAL (información)
