tramo_pd,creditos,defaults,pd_predicha,default_observado,ic_inf,ic_sup,observado_sobre_predicho,dentro_del_ic,muestra
1,431,7,0.021663670843525606,0.016241299303944315,0.007888968501901171,0.03314114453236234,0.7497020897914067,True,DEV
2,430,17,0.04073280833757964,0.03953488372093023,0.024827667184145672,0.0623967944626858,0.9705906696459174,True,DEV
3,430,24,0.0552199445185834,0.05581395348837209,0.03779016327079783,0.08170414064104464,1.0107571453569424,True,DEV
4,431,34,0.06868349888830434,0.07888631090487239,0.05699837134088184,0.10821489252347702,1.1485482274739707,True,DEV
5,430,37,0.08944716142390294,0.08604651162790698,0.06306987616701269,0.11635413480842167,0.9619814676971158,True,DEV
6,430,48,0.11663783044192336,0.11162790697674418,0.08523508691296783,0.1448986761931981,0.9570471823232881,True,DEV
7,430,74,0.16422665315933488,0.17209302325581396,0.1393589325219552,0.21063424471139452,1.0478994727417785,True,DEV
8,431,110,0.25926787759169756,0.2552204176334107,0.2163468276221583,0.29841900894913576,0.9843888876790942,True,DEV
1,144,7,0.021401441621304945,0.04861111111111111,0.02374368582632414,0.0969368262893456,2.2713942346163813,False,VAL
2,144,14,0.04037535152211576,0.09722222222222222,0.058798512181177626,0.15657794478357384,2.407959771420649,False,VAL
3,144,9,0.05330597182303153,0.0625,0.03322627105031893,0.11451022530794559,1.1724765136538806,True,VAL
4,144,11,0.06675936089183579,0.0763888888888889,0.043186883373293565,0.13160559722756573,1.1442423634440564,True,VAL
5,143,20,0.08655734858923514,0.13986013986013987,0.09239624657944673,0.20616764812069277,1.6158089652659928,False,VAL
6,144,26,0.11358124499587054,0.18055555555555555,0.12629858013620227,0.25141378228411787,1.5896599439645163,False,VAL
7,144,35,0.15683525942496523,0.24305555555555555,0.18026844362664393,0.3191958478853526,1.5497507157938597,False,VAL
8,144,39,0.2529176711077765,0.2708333333333333,0.20490655713380226,0.34866970286338395,1.070835944942425,True,VAL
1,149,3,0.020648365574632902,0.020134228187919462,0.006870586746020212,0.0575202597250976,0.9751003349463614,True,OOT
2,149,9,0.03859086717119315,0.06040268456375839,0.03209985985173762,0.1108036428595661,1.565206718361775,True,OOT
3,148,6,0.05419477233267878,0.04054054054054054,0.01871011814260458,0.0856196570968555,0.7480526035182751,True,OOT
4,149,20,0.0677089738329212,0.1342281879194631,0.0885999071925608,0.19824346529241713,1.9824283299682675,False,OOT
5,148,15,0.08896735644690304,0.10135135135135136,0.06238584514033465,0.1604885186703734,1.1391970650700323,True,OOT
6,149,26,0.11925555269456081,0.174496644295302,0.12195321718076815,0.24340281154439572,1.4632160964632444,False,OOT
7,148,40,0.16803780058616488,0.2702702702702703,0.20520533406218508,0.34695955355754504,1.6083897154538367,False,OOT
8,149,40,0.2577352231750293,0.2684563758389262,0.20377805782998765,0.34477416878894335,1.0415975454647737,True,OOT
