decil,creditos,defaults,pd_media,default_rate,ic_inf,ic_sup,lift,buenos,captura_malos_acum,captura_buenos_acum,poblacion_acum,lift_acumulado,ks_acumulado
1,119,33,0.2711563529909905,0.2773109243697479,0.20480261028046137,0.3637474574490374,2.073727604249247,86,0.20754716981132076,0.08349514563106795,0.10008410428931876,2.073727604249247,0.12405202418025281
2,119,32,0.1859547528588528,0.2689075630252101,0.19739221088821968,0.35487672732163755,2.0108873738174515,87,0.4088050314465409,0.1679611650485437,0.2001682085786375,2.042307489033349,0.2408438663979972
3,119,24,0.139517802725546,0.20168067226890757,0.13944089576973434,0.2825790062829905,1.5081655303630888,95,0.559748427672956,0.26019417475728157,0.3002523128679563,1.864260169476596,0.2995542529156744
4,119,18,0.10969234163923874,0.15126050420168066,0.0978721829192941,0.22646094201558137,1.1311241477723164,101,0.6729559748427673,0.35825242718446604,0.400336417157275,1.680976164050526,0.3147035476583012
5,119,14,0.08601053766758851,0.11764705882352941,0.07138672488935097,0.18782188196695834,0.8797632260451351,105,0.7610062893081762,0.4601941747572815,0.5004205214465938,1.5207335764494478,0.3008121145508946
6,118,15,0.0694145330029029,0.1271186440677966,0.07857021672279302,0.1991805679024909,0.9505916213623281,103,0.8553459119496856,0.5601941747572815,0.599663582842725,1.426376282339658,0.29515173719240406
7,119,8,0.05806980043748334,0.06722689075630252,0.03445533736402665,0.12706649237443327,0.5027218434543629,111,0.9056603773584906,0.6679611650485436,0.6997476871320437,1.2942670537010161,0.23769921230994695
8,119,8,0.04704700401090508,0.06722689075630252,0.03445533736402665,0.12706649237443327,0.5027218434543629,111,0.9559748427672956,0.7757281553398059,0.7998317914213625,1.1952198612516451,0.18024668742748973
9,119,4,0.03247367920439577,0.03361344537815126,0.013147540181404155,0.08324977147848957,0.25136092172718144,115,0.9811320754716981,0.887378640776699,0.8999158957106812,1.09024863339799,0.09375343469499908
10,119,3,0.019267501881723968,0.025210084033613446,0.008610075311511797,0.07150610682874037,0.1885206912953861,116,1.0,1.0,1.0,1.0,0.0
